Atribut,age,years_at_company,years_in_current_role,years_since_last_promotion,team_size,performance_score,performance_last_year,performance_two_years_ago,manager_rating,peer_feedback_score,projects_completed,kpi_achievement_percent,innovation_score,leadership_score,problem_solving_score,avg_monthly_hours,overtime_hours,tasks_completed,deadline_adherence_rate,meeting_hours_per_month,remote_work_ratio,training_hours_last_year,certifications_count,skill_assessment_score,cross_department_projects,mentoring_sessions,salary,salary_increase_percent,bonus_last_year,stock_options,attendance_rate,late_days,employee_engagement_score,job_satisfaction_score,internal_mobility_score
avg_monthly_hours,0.004,0.002,0.0,0.004,-0.001,-0.005,-0.005,-0.004,-0.004,0.0,0.238,-0.003,-0.002,-0.002,0.003,1.0,0.105,0.217,0.009,0.0,-0.0,-0.0,-0.004,-0.002,0.001,-0.004,0.058,0.003,-0.003,-0.002,0.008,0.003,0.003,-0.003,-0.004
overtime_hours,-0.001,0.001,-0.0,0.004,-0.003,-0.004,-0.004,-0.005,-0.005,0.003,0.455,-0.004,-0.002,0.0,0.002,0.105,1.0,0.416,-0.002,-0.0,-0.002,-0.009,-0.001,-0.001,0.001,0.001,0.099,0.001,-0.006,0.001,0.003,0.001,0.004,0.002,0.005
tasks_completed,0.002,0.002,-0.0,0.003,0.002,0.002,0.003,0.001,0.003,0.001,0.914,-0.001,0.003,0.008,0.004,0.217,0.416,1.0,0.002,0.003,0.002,-0.003,0.001,0.004,0.0,-0.001,0.198,0.003,0.002,0.005,-0.003,0.001,0.002,-0.0,0.003
deadline_adherence_rate,0.003,-0.003,-0.003,-0.005,-0.003,-0.0,-0.001,-0.0,-0.003,-0.0,0.001,0.001,-0.002,0.002,0.0,0.009,-0.002,0.002,1.0,-0.002,0.001,-0.006,-0.001,-0.001,-0.001,-0.002,0.001,-0.003,-0.006,0.002,0.002,-0.003,-0.005,-0.002,-0.001
meeting_hours_per_month,0.003,-0.0,0.001,-0.001,0.002,0.059,0.055,0.044,0.044,0.04,0.004,0.05,0.049,0.153,0.045,0.0,-0.0,0.003,-0.002,1.0,-0.003,0.01,0.014,0.066,0.003,0.004,0.005,0.01,0.045,0.118,0.008,-0.001,0.002,-0.001,-0.002
remote_work_ratio,-0.005,0.001,-0.0,-0.001,-0.002,0.002,0.001,0.0,0.003,0.0,0.003,0.002,-0.003,0.001,-0.0,-0.0,-0.002,0.002,0.001,-0.003,1.0,0.002,0.001,-0.001,0.003,0.002,0.007,0.001,0.003,-0.002,0.004,0.005,-0.004,0.0,0.003
training_hours_last_year,0.002,0.001,0.0,0.001,-0.002,-0.001,-0.002,-0.004,-0.002,-0.003,-0.001,-0.002,0.093,0.055,0.076,-0.0,-0.009,-0.003,-0.006,0.01,0.002,1.0,0.021,0.12,0.002,-0.001,0.012,-0.003,-0.002,0.04,-0.006,0.002,-0.002,0.002,0.001
certifications_count,0.003,0.0,0.003,0.005,0.002,0.002,0.002,-0.001,-0.001,0.006,-0.001,0.002,0.134,0.08,0.117,-0.004,-0.001,0.001,-0.001,0.014,0.001,0.021,1.0,0.179,0.003,0.001,-0.004,-0.004,0.004,0.063,-0.001,0.006,-0.005,-0.008,0.0
skill_assessment_score,0.007,0.008,0.006,0.004,0.001,0.004,0.001,0.0,-0.002,0.004,0.004,0.002,0.754,0.456,0.637,-0.002,-0.001,0.004,-0.001,0.066,-0.001,0.12,0.179,1.0,0.004,0.003,-0.003,-0.003,0.006,0.352,-0.003,0.003,-0.0,0.001,0.0
cross_department_projects,-0.0,0.002,-0.001,0.002,-0.004,-0.002,-0.002,-0.003,-0.004,0.001,0.002,-0.001,0.006,0.002,0.004,0.001,0.001,0.0,-0.001,0.003,0.003,0.002,0.003,0.004,1.0,0.003,-0.003,-0.001,-0.001,0.002,-0.002,-0.006,-0.004,-0.0,-0.001
mentoring_sessions,0.004,0.003,0.002,0.005,-0.005,0.005,0.007,0.01,0.002,0.001,-0.003,0.004,0.001,0.009,-0.002,-0.004,0.001,-0.001,-0.002,0.004,0.002,-0.001,0.001,0.003,0.003,1.0,0.004,0.005,0.001,0.001,0.004,0.007,-0.002,-0.001,0.002
salary,0.026,0.316,0.205,0.201,0.003,0.1,0.092,0.077,0.079,0.07,0.222,0.085,-0.003,0.038,-0.003,0.058,0.099,0.198,0.001,0.005,0.007,0.012,-0.004,-0.003,-0.003,0.004,1.0,0.017,0.08,0.029,-0.005,-0.003,0.001,-0.002,-0.003
salary_increase_percent,-0.003,-0.003,-0.001,-0.003,0.003,0.145,0.134,0.109,0.107,0.097,0.003,0.123,0.0,0.052,-0.004,0.003,0.001,0.003,-0.003,0.01,0.001,-0.003,-0.004,-0.003,-0.001,0.005,0.017,1.0,0.111,0.039,0.0,-0.004,-0.007,-0.001,0.003
bonus_last_year,0.002,0.0,0.003,0.005,-0.001,0.762,0.7,0.577,0.584,0.533,0.003,0.631,0.002,0.276,0.006,-0.003,-0.006,0.002,-0.006,0.045,0.003,-0.002,0.004,0.006,-0.001,0.001,0.08,0.111,1.0,0.216,0.005,0.0,0.001,0.006,0.005
stock_options,0.001,0.001,0.001,0.001,0.001,0.28,0.254,0.211,0.212,0.194,0.005,0.23,0.268,0.775,0.228,-0.002,0.001,0.005,0.002,0.118,-0.002,0.04,0.063,0.352,0.002,0.001,0.029,0.039,0.216,1.0,0.002,0.002,0.002,-0.003,-0.0
attendance_rate,-0.006,0.001,-0.004,0.002,-0.002,0.003,0.004,0.004,0.002,0.001,-0.003,0.002,-0.001,0.004,-0.003,0.008,0.003,-0.003,0.002,0.008,0.004,-0.006,-0.001,-0.003,-0.002,0.004,-0.005,0.0,0.005,0.002,1.0,-0.001,-0.004,-0.0,-0.008
late_days,-0.002,0.002,0.0,-0.0,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.003,0.001,0.001,-0.003,-0.001,0.005,0.002,0.006,0.003,-0.006,0.007,-0.003,-0.004,0.0,0.002,-0.001,1.0,0.005,-0.003,0.001
employee_engagement_score,0.001,-0.0,-0.001,0.001,0.002,-0.0,0.0,-0.003,-0.002,-0.001,0.001,0.002,0.001,0.002,0.002,0.003,0.004,0.002,-0.005,0.002,-0.004,-0.002,-0.005,-0.0,-0.004,-0.002,0.001,-0.007,0.001,0.002,-0.004,0.005,1.0,0.0,0.001
job_satisfaction_score,-0.003,-0.001,-0.0,0.004,0.001,0.005,0.006,0.006,0.005,0.002,-0.0,0.005,-0.0,0.001,0.001,-0.003,0.002,-0.0,-0.002,-0.001,0.0,0.002,-0.008,0.001,-0.0,-0.001,-0.002,-0.001,0.006,-0.003,-0.0,-0.003,0.0,1.0,-0.003
internal_mobility_score,-0.003,-0.006,-0.006,-0.006,0.0,0.003,0.003,0.002,0.0,0.004,0.004,0.004,0.001,0.001,-0.005,-0.004,0.005,0.003,-0.001,-0.002,0.003,0.001,0.0,0.0,-0.001,0.002,-0.003,0.003,0.005,-0.0,-0.008,0.001,0.001,-0.003,1.0
